person_hash,role,age_band,gender,masked_zone
"PER-2EDDC5DD5E4A","accused","18-25","female","Metro corridor / BSK-3"
"PER-EFFCF1E2B05A","accused","51-65","male","Industrial IT belt / ELC-5"
"PER-EDAE6A2A9350","victim","51-65","undisclosed","Rail and arterial road / KRP-2"
"PER-AF3FE69FF01D","victim","26-35","female","Commercial mixed use / KRM-6"
"PER-010BB562B59A","victim","26-35","male","Commercial mixed use / KRM-6"
"PER-F582AADFE165","victim","18-25","male","Tech corridor / WFD-4"
"PER-D7454DB471C6","victim","65+","female","Tech corridor / WFD-4"
"PER-8B12C47FB412","accused","65+","female","Outer growth corridor / YLK-1"
"PER-D491229EB658","victim","18-25","undisclosed","Rail and arterial road / KRP-2"
"PER-DF39588047E3","victim","26-35","female","Airport approach / HBL-2"
"PER-0ED3800BB5C6","accused","36-50","male","Tech corridor / WFD-4"
"PER-619E8F1A320F","accused","51-65","undisclosed","Metro corridor / BSK-3"
"PER-8777A2D2437A","victim","36-50","male","Outer growth corridor / YLK-1"
"PER-FF7ED9916F1D","victim","51-65","female","Transit hub / CEN-2"
"PER-A0BA1D0160DC","accused","26-35","male","Commercial mixed use / KRM-6"
"PER-2708C4866617","victim","36-50","male","Outer growth corridor / YLK-1"
"PER-F480203A35A6","victim","26-35","male","Night economy / IND-3"
"PER-47BB9FCEEDC7","victim","65+","female","Residential market / JYN-4"
"PER-857238832AF2","victim","36-50","male","Night economy / IND-3"
"PER-BA6D3CED52F7","victim","51-65","female","Tech corridor / WFD-4"
"PER-366A7BEC174E","victim","26-35","female","Tech corridor / WFD-4"
"PER-10A90B94EC47","victim","18-25","female","Night economy / IND-3"
"PER-A8B395B80244","accused","51-65","male","Airport approach / HBL-2"
"PER-F43F1D00E481","victim","26-35","male","Outer growth corridor / YLK-1"
"PER-0C8ADB047175","victim","36-50","female","Night economy / IND-3"
"PER-EFF08B89718B","victim","51-65","female","Outer growth corridor / YLK-1"
"PER-FD54AAC89A58","accused","65+","male","Transit hub / CEN-2"
"PER-8DC476CA6321","victim","65+","male","Tech corridor / WFD-4"
"PER-F448C1E65145","accused","36-50","male","Airport approach / HBL-2"
"PER-4B984328FF41","accused","51-65","male","Rail and arterial road / KRP-2"
"PER-E2F57C23C503","accused","26-35","female","Tech corridor / WFD-4"
"PER-7F61B19B19BB","accused","65+","female","Tech corridor / WFD-4"
"PER-F0C2474BABAC","accused","65+","undisclosed","Night economy / IND-3"
"PER-C0180A9EE533","accused","65+","female","Tech corridor / WFD-4"
"PER-6208858C072D","victim","36-50","male","Tech corridor / WFD-4"
"PER-747BDF3D8A01","accused","18-25","female","Commercial mixed use / KRM-6"
"PER-77EBC2FDAFFC","victim","65+","male","Transit hub / CEN-2"
"PER-092F7E8BED63","accused","51-65","undisclosed","Rail and arterial road / KRP-2"
"PER-B5262D921131","victim","65+","female","Transit hub / CEN-2"
"PER-2849530B67D3","victim","65+","female","Outer growth corridor / YLK-1"
"PER-CD73042A2F9E","accused","65+","female","Transit hub / CEN-2"
"PER-9712A31766C5","victim","51-65","female","Commercial mixed use / KRM-6"
"PER-55B2D61DC291","accused","51-65","male","Airport approach / HBL-2"
"PER-89F8F3F1F697","victim","26-35","male","Industrial IT belt / ELC-5"
"PER-AB33DDEDFF92","victim","51-65","undisclosed","Night economy / IND-3"
"PER-FD89FEC27B56","victim","36-50","male","Tech corridor / WFD-4"
"PER-0003EF261C47","accused","36-50","undisclosed","Transit hub / CEN-2"
"PER-8CF79F8BBBFB","victim","65+","male","Tech corridor / WFD-4"
"PER-1CB333771956","accused","26-35","undisclosed","Rail and arterial road / KRP-2"
"PER-70B97C96B584","accused","18-25","female","Transit hub / CEN-2"
"PER-EB4A2F562F17","accused","65+","female","Airport approach / HBL-2"
"PER-621FCA2924CD","victim","51-65","male","Transit hub / CEN-2"
"PER-9388417289E8","accused","26-35","male","Night economy / IND-3"
"PER-2011D51478DA","accused","36-50","male","Outer growth corridor / YLK-1"
"PER-C24A13425163","victim","18-25","female","Night economy / IND-3"
"PER-F57E379806E8","accused","18-25","undisclosed","Residential market / JYN-4"
"PER-BF3AD665FE93","accused","26-35","male","Rail and arterial road / KRP-2"
"PER-C2DAB1D39A30","accused","36-50","male","Metro corridor / BSK-3"
"PER-53572FA7B394","victim","26-35","female","Metro corridor / BSK-3"
"PER-42820E4607EE","accused","18-25","male","Industrial IT belt / ELC-5"
"PER-C5F0157DAF14","accused","18-25","female","Outer growth corridor / YLK-1"
"PER-9B30CC288476","victim","36-50","male","Tech corridor / WFD-4"
"PER-87740E049504","accused","51-65","undisclosed","Night economy / IND-3"
"PER-84FB9307A7E2","accused","65+","male","Transit hub / CEN-2"
"PER-B6E8DB38502B","victim","51-65","male","Industrial IT belt / ELC-5"
"PER-C7338192439D","accused","51-65","female","Airport approach / HBL-2"
"PER-87DCB9A2ADE0","victim","18-25","female","Outer growth corridor / YLK-1"
"PER-79C552380D5B","victim","18-25","male","Night economy / IND-3"
"PER-6448647552C2","victim","26-35","male","Outer growth corridor / YLK-1"
"PER-9DAF4FD38A68","accused","26-35","male","Transit hub / CEN-2"
"PER-452DB00AD0C8","victim","65+","male","Airport approach / HBL-2"
"PER-422B92FC613E","accused","26-35","female","Commercial mixed use / KRM-6"
"PER-689B4C420B5A","victim","18-25","female","Transit hub / CEN-2"
"PER-5BEE0BACE9B2","accused","65+","male","Transit hub / CEN-2"
"PER-F2571FB9887A","victim","18-25","male","Residential market / JYN-4"
"PER-7EDE7B2CDCFF","victim","51-65","female","Transit hub / CEN-2"
"PER-E2DC38AF18A7","victim","18-25","female","Residential market / JYN-4"
"PER-C5817A21D4E6","victim","36-50","male","Transit hub / CEN-2"
"PER-1B669DCA7454","victim","18-25","male","Transit hub / CEN-2"
"PER-75ED493FE423","victim","18-25","female","Night economy / IND-3"
"PER-BFC3B7A91799","accused","26-35","male","Night economy / IND-3"
"PER-B596ACF3F458","accused","18-25","male","Night economy / IND-3"
"PER-277CF73E0D43","victim","51-65","female","Tech corridor / WFD-4"
"PER-876C567C01A7","victim","65+","female","Rail and arterial road / KRP-2"
"PER-5838F54C6A4D","accused","26-35","female","Transit hub / CEN-2"
"PER-680CDE957150","accused","65+","female","Commercial mixed use / KRM-6"
"PER-D65F80D29545","victim","26-35","male","Industrial IT belt / ELC-5"
"PER-F94AC2C4EF6D","victim","36-50","female","Industrial IT belt / ELC-5"
"PER-D19605D1F7D9","accused","18-25","male","Night economy / IND-3"
"PER-7F29833FD4A6","accused","26-35","male","Night economy / IND-3"
"PER-C8B111E9DE8F","victim","36-50","undisclosed","Rail and arterial road / KRP-2"
"PER-17F6E928B655","victim","51-65","female","Transit hub / CEN-2"
"PER-E97B10879595","victim","36-50","female","Airport approach / HBL-2"
"PER-2AFE868EC979","victim","51-65","female","Transit hub / CEN-2"
"PER-5C28642299F8","victim","18-25","female","Industrial IT belt / ELC-5"
"PER-E22D7AF8A220","accused","36-50","undisclosed","Residential market / JYN-4"
"PER-027828439B0F","victim","36-50","male","Commercial mixed use / KRM-6"
"PER-EE674BC96B01","victim","36-50","male","Metro corridor / BSK-3"
"PER-06ABE9266354","victim","36-50","female","Night economy / IND-3"
"PER-11ABE1CA4B64","accused","36-50","male","Commercial mixed use / KRM-6"
"PER-11BBD4539476","victim","51-65","male","Transit hub / CEN-2"
"PER-DA4AC00A8485","accused","18-25","male","Outer growth corridor / YLK-1"
"PER-1DD8A225F3EA","victim","65+","female","Transit hub / CEN-2"
"PER-FA5B89478701","victim","65+","male","Outer growth corridor / YLK-1"
"PER-D8BE70E8E475","accused","65+","male","Rail and arterial road / KRP-2"
"PER-BDCAA3D9D4F3","victim","36-50","male","Commercial mixed use / KRM-6"
"PER-5495524BA9B8","victim","65+","female","Transit hub / CEN-2"
"PER-67B7A9C25D5A","victim","26-35","male","Night economy / IND-3"
"PER-F63BA2DB39ED","accused","51-65","male","Transit hub / CEN-2"
"PER-DAA4D5A7BE2E","accused","18-25","male","Commercial mixed use / KRM-6"
"PER-136EF98E7142","victim","51-65","female","Airport approach / HBL-2"
"PER-AE183B83C133","victim","36-50","male","Rail and arterial road / KRP-2"
"PER-F14D33B053BF","victim","65+","undisclosed","Commercial mixed use / KRM-6"
"PER-C3F957B7FF86","victim","36-50","female","Transit hub / CEN-2"
"PER-EE4FC357B459","victim","36-50","female","Transit hub / CEN-2"
"PER-D7661D4BFD96","victim","36-50","male","Commercial mixed use / KRM-6"
"PER-C78F71A4765D","accused","51-65","male","Commercial mixed use / KRM-6"
"PER-FA1EF40069FE","victim","18-25","female","Rail and arterial road / KRP-2"
"PER-DE1EA0E25AE6","victim","18-25","female","Metro corridor / BSK-3"
"PER-E64CF7DBEF36","victim","26-35","female","Night economy / IND-3"
"PER-B3E3F2FB3E1A","victim","51-65","male","Commercial mixed use / KRM-6"
"PER-A30FDEC28C30","victim","36-50","male","Transit hub / CEN-2"
"PER-79084562344B","victim","26-35","male","Airport approach / HBL-2"
"PER-E5D29F0DE66E","accused","65+","female","Metro corridor / BSK-3"
"PER-267A472E20A2","accused","51-65","undisclosed","Commercial mixed use / KRM-6"
"PER-4167AEAD0741","victim","36-50","female","Commercial mixed use / KRM-6"
"PER-D84852BE8901","accused","26-35","female","Rail and arterial road / KRP-2"
"PER-15FB21EF40B0","accused","18-25","undisclosed","Night economy / IND-3"
"PER-BC18ADAD09B8","victim","36-50","male","Transit hub / CEN-2"
"PER-889E0DEEE15F","victim","51-65","undisclosed","Tech corridor / WFD-4"
"PER-83AD614472D6","victim","26-35","male","Night economy / IND-3"
"PER-99AE80A302E1","accused","65+","male","Transit hub / CEN-2"
"PER-96F8651BF3EF","accused","26-35","male","Residential market / JYN-4"
"PER-11052A3780E8","victim","36-50","female","Tech corridor / WFD-4"
"PER-B116CF5A14CC","accused","26-35","undisclosed","Residential market / JYN-4"
"PER-547721EEF091","victim","26-35","female","Commercial mixed use / KRM-6"
"PER-A4D551B4C5A8","accused","26-35","female","Outer growth corridor / YLK-1"
"PER-68404F4A77B7","victim","51-65","male","Commercial mixed use / KRM-6"
"PER-5226A26835CE","victim","26-35","female","Metro corridor / BSK-3"
"PER-88F0B00753E7","victim","65+","male","Airport approach / HBL-2"
"PER-4552E582C23B","accused","65+","male","Industrial IT belt / ELC-5"
"PER-071D429764AC","accused","36-50","male","Residential market / JYN-4"
"PER-142E2C5D5DA2","victim","18-25","female","Industrial IT belt / ELC-5"
"PER-88E201E87663","accused","26-35","female","Night economy / IND-3"
"PER-A59283416ED7","victim","36-50","male","Commercial mixed use / KRM-6"
"PER-280B679D8F8B","accused","26-35","female","Residential market / JYN-4"
"PER-4B6D17AC76CF","victim","36-50","male","Rail and arterial road / KRP-2"
"PER-C3F04DB561DF","victim","36-50","female","Commercial mixed use / KRM-6"
"PER-BEA36AC4EB95","accused","26-35","male","Commercial mixed use / KRM-6"
"PER-F47900A9AB24","victim","26-35","female","Transit hub / CEN-2"
"PER-83B7D5E225C4","accused","51-65","female","Outer growth corridor / YLK-1"
"PER-5933B37D6F70","accused","51-65","female","Transit hub / CEN-2"
"PER-300060948617","victim","26-35","female","Commercial mixed use / KRM-6"
"PER-AB010F99EB6D","victim","18-25","undisclosed","Airport approach / HBL-2"
"PER-0C910D89AEF4","accused","26-35","male","Rail and arterial road / KRP-2"
"PER-6E54F255FA37","victim","26-35","female","Rail and arterial road / KRP-2"
"PER-9AD522277296","accused","18-25","female","Outer growth corridor / YLK-1"
"PER-F58085BF7097","victim","51-65","female","Commercial mixed use / KRM-6"
"PER-AA9F33E3BCDE","victim","51-65","male","Rail and arterial road / KRP-2"
"PER-D1C5FA08D90E","accused","36-50","female","Rail and arterial road / KRP-2"
"PER-6D2C76EEA931","victim","65+","male","Night economy / IND-3"
"PER-8C4263A37189","victim","51-65","male","Transit hub / CEN-2"
"PER-33E9ECC59D23","accused","51-65","male","Night economy / IND-3"
"PER-CAC69D1F480B","accused","36-50","female","Commercial mixed use / KRM-6"
"PER-50B048C8F0F5","victim","18-25","female","Transit hub / CEN-2"
"PER-CC1BDFC67134","victim","18-25","female","Industrial IT belt / ELC-5"
"PER-6C09AC5BF0B8","victim","18-25","male","Commercial mixed use / KRM-6"
"PER-92B75EBD70BA","accused","51-65","male","Industrial IT belt / ELC-5"
"PER-F17AF1B3C663","victim","26-35","male","Metro corridor / BSK-3"
"PER-CEF50A37F10B","accused","65+","male","Night economy / IND-3"
"PER-24CDCD8A7E8D","victim","51-65","male","Industrial IT belt / ELC-5"
"PER-FCB71EED877D","victim","26-35","male","Industrial IT belt / ELC-5"
"PER-3ED137F62E3C","victim","51-65","male","Metro corridor / BSK-3"
"PER-14A1CAD114F4","victim","26-35","female","Airport approach / HBL-2"
"PER-064D53B90FAC","victim","26-35","male","Commercial mixed use / KRM-6"
"PER-A021F9A80D08","accused","18-25","female","Tech corridor / WFD-4"
"PER-D448509219A4","accused","26-35","female","Rail and arterial road / KRP-2"
"PER-B95943AFA6A4","victim","51-65","female","Residential market / JYN-4"
"PER-6B640FB2113B","victim","65+","female","Tech corridor / WFD-4"
"PER-C5E1ECDB43D9","victim","51-65","male","Airport approach / HBL-2"
"PER-A36F8C109B81","victim","65+","male","Commercial mixed use / KRM-6"
"PER-6E403881A8A8","victim","26-35","female","Airport approach / HBL-2"
"PER-940315A782C2","victim","65+","female","Night economy / IND-3"
"PER-34F386352823","victim","36-50","female","Transit hub / CEN-2"
"PER-D694906E10BC","victim","65+","male","Commercial mixed use / KRM-6"
"PER-7818613D8EFC","victim","65+","male","Outer growth corridor / YLK-1"
"PER-082FF8F44543","accused","65+","female","Transit hub / CEN-2"
"PER-132BF0D34A95","victim","65+","female","Rail and arterial road / KRP-2"
"PER-6F0D7D44508B","victim","26-35","male","Transit hub / CEN-2"
"PER-4F4CF7F633A0","victim","36-50","female","Night economy / IND-3"
"PER-B46D5ABB247F","victim","65+","male","Commercial mixed use / KRM-6"
"PER-F50D0B8D07A4","victim","36-50","male","Residential market / JYN-4"
"PER-D31FF6CA456D","victim","26-35","female","Outer growth corridor / YLK-1"
"PER-4FB4E7A964C8","victim","18-25","female","Transit hub / CEN-2"
"PER-0E48B4E144A4","victim","65+","male","Commercial mixed use / KRM-6"
"PER-4CE5F8386449","accused","18-25","male","Industrial IT belt / ELC-5"
"PER-AB7517024B9D","victim","18-25","male","Outer growth corridor / YLK-1"
"PER-26B123EE5BBE","victim","51-65","female","Transit hub / CEN-2"
"PER-F17F1F9610CB","accused","65+","male","Rail and arterial road / KRP-2"
"PER-716F6124C302","victim","36-50","male","Outer growth corridor / YLK-1"
"PER-866AAA85B6C6","accused","65+","female","Industrial IT belt / ELC-5"
"PER-3621B62D6680","accused","26-35","female","Transit hub / CEN-2"
"PER-906AD3B43D23","victim","26-35","male","Airport approach / HBL-2"
"PER-918A782D9750","accused","51-65","female","Commercial mixed use / KRM-6"
"PER-63AD6AC7AA25","accused","51-65","female","Outer growth corridor / YLK-1"
"PER-E6812D74ADD2","victim","18-25","male","Night economy / IND-3"
"PER-E3B005D368B2","victim","26-35","male","Airport approach / HBL-2"
"PER-D52C819670C2","victim","36-50","male","Commercial mixed use / KRM-6"
"PER-41476AE34FD7","accused","18-25","male","Commercial mixed use / KRM-6"
"PER-1363080B95F3","victim","26-35","male","Commercial mixed use / KRM-6"
"PER-27D0BEE1DE70","accused","65+","undisclosed","Night economy / IND-3"
"PER-BC96CCF02CEF","victim","51-65","male","Commercial mixed use / KRM-6"
"PER-3583428D4177","victim","51-65","male","Transit hub / CEN-2"
"PER-873051EC62EB","victim","65+","male","Airport approach / HBL-2"
"PER-43F093D0FE40","accused","18-25","male","Transit hub / CEN-2"
"PER-E1B278E9E222","accused","51-65","undisclosed","Rail and arterial road / KRP-2"
"PER-ABA1C50195D9","victim","26-35","male","Metro corridor / BSK-3"
"PER-35A7EE03092D","victim","51-65","female","Rail and arterial road / KRP-2"
"PER-9CA0C4BAEB1C","victim","51-65","female","Metro corridor / BSK-3"
"PER-A15E5CBE79B4","victim","36-50","female","Metro corridor / BSK-3"
"PER-00677A530B80","victim","36-50","female","Transit hub / CEN-2"
"PER-CB55644C4D6C","accused","18-25","undisclosed","Rail and arterial road / KRP-2"
"PER-0B3504A331DD","victim","26-35","male","Commercial mixed use / KRM-6"
"PER-FAD890E7090C","victim","51-65","male","Night economy / IND-3"
"PER-3DB0AE8C7F36","victim","51-65","female","Outer growth corridor / YLK-1"
"PER-E5EA1FD535D4","accused","65+","female","Residential market / JYN-4"
"PER-8D54C2FD5454","accused","51-65","male","Transit hub / CEN-2"
"PER-04AEDEAF03C4","victim","36-50","undisclosed","Tech corridor / WFD-4"
"PER-B523139A5318","victim","26-35","male","Rail and arterial road / KRP-2"
"PER-ADE27523C3DD","victim","51-65","female","Commercial mixed use / KRM-6"
"PER-CBCB73289935","victim","18-25","female","Industrial IT belt / ELC-5"
"PER-3BB216747A09","accused","51-65","female","Commercial mixed use / KRM-6"
"PER-1CDF014A1741","accused","36-50","male","Residential market / JYN-4"
"PER-5FDA54C76B53","accused","36-50","male","Industrial IT belt / ELC-5"
"PER-0DBBEB16F29E","victim","51-65","male","Transit hub / CEN-2"
"PER-427ED70F35D5","victim","26-35","male","Transit hub / CEN-2"
"PER-B59282B9530F","victim","26-35","male","Transit hub / CEN-2"
"PER-0FE7BB3A0A5F","accused","26-35","male","Transit hub / CEN-2"
"PER-838A9FAF7422","accused","51-65","male","Industrial IT belt / ELC-5"
"PER-F21BF56802F0","accused","18-25","female","Industrial IT belt / ELC-5"
"PER-21BC11622336","victim","51-65","male","Residential market / JYN-4"
"PER-1C85D83D4D39","victim","36-50","female","Commercial mixed use / KRM-6"
"PER-534AFD3E1EC2","accused","51-65","male","Transit hub / CEN-2"
"PER-CE4674BED05D","accused","51-65","female","Industrial IT belt / ELC-5"
"PER-9407DFB66C4B","accused","18-25","female","Rail and arterial road / KRP-2"
"PER-E6AE62C0AD24","accused","36-50","female","Transit hub / CEN-2"
"PER-8577333799C2","victim","36-50","undisclosed","Industrial IT belt / ELC-5"
"PER-106F74CC0B2F","accused","18-25","male","Tech corridor / WFD-4"
"PER-B5F8E37982E6","victim","51-65","undisclosed","Night economy / IND-3"
"PER-34004C41B6C2","victim","36-50","male","Transit hub / CEN-2"
"PER-54C86353E338","victim","26-35","female","Night economy / IND-3"
"PER-023D387B7598","accused","18-25","male","Transit hub / CEN-2"
"PER-CF4180A69EC7","victim","51-65","female","Transit hub / CEN-2"
"PER-45AC34BFAFD2","victim","36-50","male","Commercial mixed use / KRM-6"
"PER-5E08AAC4662D","accused","18-25","female","Commercial mixed use / KRM-6"
"PER-90FC44D06A6A","accused","51-65","male","Metro corridor / BSK-3"
"PER-3444249B2E36","victim","65+","female","Tech corridor / WFD-4"
"PER-52C25BEDF915","victim","18-25","female","Transit hub / CEN-2"
"PER-08FA0525349F","victim","51-65","male","Outer growth corridor / YLK-1"
"PER-956EFE3259E6","victim","36-50","male","Transit hub / CEN-2"
"PER-9BD1ABC23E41","accused","18-25","male","Outer growth corridor / YLK-1"
"PER-58BA12420839","accused","51-65","male","Transit hub / CEN-2"
"PER-AF89DC033DDD","victim","51-65","female","Airport approach / HBL-2"
"PER-945DE4602107","accused","26-35","male","Outer growth corridor / YLK-1"
"PER-E7AEE8E81845","victim","26-35","female","Airport approach / HBL-2"
"PER-4A1EBE8D7FF4","accused","18-25","male","Tech corridor / WFD-4"
"PER-CD6EC444248B","accused","18-25","female","Transit hub / CEN-2"
"PER-AC0673BC7374","victim","51-65","female","Transit hub / CEN-2"
"PER-3FEDC5D2881B","accused","51-65","male","Industrial IT belt / ELC-5"
"PER-732D7AD048FD","victim","51-65","female","Night economy / IND-3"
"PER-DD9B34F48083","accused","65+","undisclosed","Tech corridor / WFD-4"
"PER-CF99E84C297F","victim","36-50","female","Commercial mixed use / KRM-6"
"PER-EF79952C9BC5","victim","26-35","undisclosed","Residential market / JYN-4"
"PER-31E35764693C","accused","26-35","male","Transit hub / CEN-2"
"PER-3E650A653036","accused","18-25","female","Industrial IT belt / ELC-5"
"PER-8DA6801E43F9","accused","26-35","female","Commercial mixed use / KRM-6"
"PER-BE4C6A8C31EB","victim","18-25","female","Commercial mixed use / KRM-6"
"PER-7B5FB4C1C48C","accused","18-25","male","Night economy / IND-3"
"PER-CD33101AD733","victim","18-25","female","Transit hub / CEN-2"
"PER-1F955B18BE14","accused","26-35","undisclosed","Tech corridor / WFD-4"
"PER-7DC9390FD229","victim","26-35","male","Commercial mixed use / KRM-6"
"PER-7E7B27FEECF8","accused","36-50","male","Outer growth corridor / YLK-1"
"PER-C4A3EC7BD653","accused","18-25","male","Transit hub / CEN-2"
"PER-D9DB2E1C80E1","victim","18-25","male","Airport approach / HBL-2"
"PER-55B49E73F490","accused","26-35","male","Commercial mixed use / KRM-6"
"PER-1A9A2AF80C46","accused","18-25","female","Transit hub / CEN-2"
"PER-3EF957DF5107","victim","51-65","female","Rail and arterial road / KRP-2"
"PER-434F91696797","accused","65+","female","Transit hub / CEN-2"
"PER-909D0D19BDF1","victim","51-65","female","Transit hub / CEN-2"
"PER-EDC054B62382","victim","51-65","female","Transit hub / CEN-2"
"PER-2791F35B3A2D","victim","36-50","female","Tech corridor / WFD-4"
"PER-D4183D0CF947","victim","18-25","undisclosed","Transit hub / CEN-2"
"PER-B631F2FB3B3D","victim","36-50","female","Airport approach / HBL-2"
"PER-246F869ABD39","victim","26-35","male","Night economy / IND-3"
"PER-80BF0515BC3A","victim","26-35","male","Transit hub / CEN-2"
"PER-A0798E6E90BB","victim","18-25","male","Airport approach / HBL-2"
"PER-608A46AD0FA8","victim","36-50","male","Outer growth corridor / YLK-1"
"PER-7049F399DA39","victim","36-50","male","Commercial mixed use / KRM-6"
"PER-75C96EE42F55","accused","18-25","female","Rail and arterial road / KRP-2"
"PER-052B8385C4B3","victim","65+","undisclosed","Industrial IT belt / ELC-5"
"PER-C0622ACE074D","victim","36-50","male","Transit hub / CEN-2"
"PER-02A3028DA044","accused","51-65","male","Transit hub / CEN-2"
"PER-299ACBF5499C","victim","18-25","male","Residential market / JYN-4"
"PER-3BE7AEFA35B7","accused","51-65","female","Transit hub / CEN-2"
"PER-48BBDFBFB6ED","victim","65+","male","Night economy / IND-3"
"PER-4DA76EC66835","accused","36-50","male","Transit hub / CEN-2"
"PER-8FB2A8990E94","victim","36-50","undisclosed","Transit hub / CEN-2"
"PER-564ADB625A7A","accused","26-35","female","Rail and arterial road / KRP-2"
"PER-B65A5AD5B3E7","victim","65+","male","Transit hub / CEN-2"
"PER-DDA5259BB4CB","accused","51-65","male","Rail and arterial road / KRP-2"
"PER-29AC383CF08C","accused","26-35","undisclosed","Transit hub / CEN-2"
"PER-44F307FDAD5B","accused","36-50","male","Tech corridor / WFD-4"
"PER-D10DBE4E7BD2","accused","18-25","male","Rail and arterial road / KRP-2"
"PER-A0096AAFA431","victim","18-25","female","Residential market / JYN-4"
"PER-343A403C9E3C","accused","18-25","female","Metro corridor / BSK-3"
"PER-3C4F017CD9DA","accused","26-35","female","Transit hub / CEN-2"
"PER-87A041E9071F","victim","36-50","undisclosed","Outer growth corridor / YLK-1"
"PER-A491299F4DB7","victim","18-25","male","Commercial mixed use / KRM-6"
"PER-C02563A5ECC2","accused","36-50","undisclosed","Commercial mixed use / KRM-6"
"PER-B4FB25A9B1D1","victim","65+","female","Transit hub / CEN-2"
"PER-906C9E93C24F","victim","51-65","male","Industrial IT belt / ELC-5"
"PER-04225073BCFA","victim","36-50","female","Airport approach / HBL-2"
"PER-98CFE4065B10","accused","51-65","male","Commercial mixed use / KRM-6"
"PER-28340E36A2C7","accused","26-35","female","Industrial IT belt / ELC-5"
"PER-7190F7CA36CE","victim","36-50","male","Night economy / IND-3"
"PER-0DBB61E05BDF","victim","65+","male","Commercial mixed use / KRM-6"
"PER-3F6373DFEC3D","victim","51-65","male","Industrial IT belt / ELC-5"
"PER-40587AD8F64D","victim","26-35","female","Transit hub / CEN-2"
"PER-DBDE1166F064","accused","26-35","female","Rail and arterial road / KRP-2"
"PER-104E6766C20F","accused","36-50","female","Commercial mixed use / KRM-6"
"PER-69AFEECC73C8","accused","36-50","undisclosed","Transit hub / CEN-2"
"PER-7A625E614F11","accused","36-50","male","Metro corridor / BSK-3"
"PER-18B98291104E","accused","26-35","female","Industrial IT belt / ELC-5"
"PER-9FB10A3FDCAB","victim","65+","male","Airport approach / HBL-2"
"PER-054176A5110B","victim","18-25","undisclosed","Tech corridor / WFD-4"
"PER-3D1B6FC2FB23","accused","26-35","male","Transit hub / CEN-2"
"PER-DEC0E57D63CD","victim","18-25","male","Residential market / JYN-4"
"PER-CE47007DD96B","victim","65+","male","Industrial IT belt / ELC-5"
"PER-C9F3D4E69DD0","victim","26-35","male","Commercial mixed use / KRM-6"
"PER-8678DE166F35","victim","36-50","female","Night economy / IND-3"
"PER-F68C62C0F39B","accused","51-65","male","Rail and arterial road / KRP-2"
"PER-A23CBEB665AF","accused","65+","male","Transit hub / CEN-2"
"PER-DE2D0AF1D9B0","victim","51-65","female","Commercial mixed use / KRM-6"
"PER-58446F3956C7","victim","36-50","female","Tech corridor / WFD-4"
"PER-A0E9ABC15058","victim","26-35","female","Rail and arterial road / KRP-2"
"PER-A8D5C7CC1048","victim","18-25","female","Airport approach / HBL-2"
"PER-767E72166FD8","victim","51-65","undisclosed","Transit hub / CEN-2"
"PER-7E784A5E5E56","victim","36-50","female","Residential market / JYN-4"
"PER-E61DE21B4F49","victim","18-25","male","Transit hub / CEN-2"
"PER-E5F3935AF529","accused","51-65","male","Night economy / IND-3"
"PER-B0FCD08A1819","accused","65+","female","Tech corridor / WFD-4"
"PER-EEEA9910CEB3","victim","18-25","female","Outer growth corridor / YLK-1"
"PER-581E678A1EE4","victim","65+","undisclosed","Industrial IT belt / ELC-5"
"PER-253222896905","victim","36-50","male","Transit hub / CEN-2"
"PER-B9A4BD32F1C5","victim","36-50","female","Night economy / IND-3"
"PER-17E4FD359CEE","victim","26-35","male","Airport approach / HBL-2"
"PER-0AF5D3E36CCF","victim","65+","male","Transit hub / CEN-2"
"PER-43D7D8699C17","victim","65+","male","Residential market / JYN-4"
"PER-76EAC3D19085","victim","65+","female","Night economy / IND-3"
"PER-94D2FC6795EE","accused","65+","female","Residential market / JYN-4"
"PER-A1EEBF4A3580","accused","65+","female","Commercial mixed use / KRM-6"
"PER-7FCC3EBD1256","accused","26-35","female","Rail and arterial road / KRP-2"
"PER-86D1F74FE856","victim","65+","female","Rail and arterial road / KRP-2"
"PER-8FC56628B2BF","accused","26-35","male","Outer growth corridor / YLK-1"
"PER-8CBD45F3461F","accused","51-65","male","Transit hub / CEN-2"
"PER-7FC18DC18358","victim","18-25","female","Commercial mixed use / KRM-6"
"PER-1B4A6B0B4325","victim","51-65","male","Rail and arterial road / KRP-2"
"PER-8585482BC3FC","victim","26-35","female","Commercial mixed use / KRM-6"
"PER-F013F1F567FE","accused","51-65","male","Tech corridor / WFD-4"
"PER-D0CA0F32A646","victim","51-65","male","Commercial mixed use / KRM-6"
"PER-C683415EDC1A","victim","18-25","female","Rail and arterial road / KRP-2"
"PER-F2A583CDDA50","victim","36-50","male","Transit hub / CEN-2"
"PER-F32D9A5BB322","victim","51-65","female","Tech corridor / WFD-4"
"PER-1F3705418EB4","victim","36-50","female","Outer growth corridor / YLK-1"
"PER-629D1D83DBBC","victim","65+","female","Commercial mixed use / KRM-6"
"PER-A08FE15AE245","victim","18-25","female","Commercial mixed use / KRM-6"
"PER-558A07ABA644","accused","36-50","male","Transit hub / CEN-2"
"PER-0860E32047DE","accused","65+","male","Transit hub / CEN-2"
"PER-3B2C3A08AFFA","victim","65+","undisclosed","Night economy / IND-3"
"PER-D8FD4565575D","victim","36-50","male","Rail and arterial road / KRP-2"
